start_lr,seed,epoch,epoch_lr,train_loss,test_loss,test_correct,test_accuracy,epoch_time_sec
0.001,4,1,,1.2681631816387176,0.4544461944580078,8813,88.13,33.742101192474365
0.001,4,2,,0.3886543132781982,0.3242664947509766,9087,90.87,22.219884634017944
0.001,4,3,,0.3198028994480769,0.284165315246582,9186,91.86,21.502103567123413
0.001,4,4,,0.28579521299203237,0.27509592361450197,9207,92.07,21.77594017982483
0.001,4,5,,0.25986937894821166,0.2363323013305664,9326,93.26,21.552794456481934
0.001,4,6,,0.2376367504119873,0.21430765991210937,9380,93.8,21.52555513381958
0.001,4,7,,0.21828194303512574,0.19790046463012695,9405,94.05,21.642787218093872
0.001,4,8,,0.20202517513831456,0.18396417694091796,9458,94.58,21.525813579559326
0.001,4,9,,0.1872455453276634,0.1743993293762207,9485,94.85,21.852752685546875
0.001,4,10,,0.1750560266772906,0.1626074905395508,9516,95.16,21.63924503326416
0.002154434690031884,0,1,,0.9260705034891764,0.3396755798339844,9054,90.54,33.704837799072266
0.002154434690031884,0,2,,0.3139001264254252,0.26424565811157225,9232,92.32,22.11621642112732
0.002154434690031884,0,3,,0.2556636525154114,0.2202871566772461,9371,93.71,21.54983949661255
0.002154434690031884,0,4,,0.21613430299758912,0.18941047401428224,9440,94.4,21.664420127868652
0.002154434690031884,0,5,,0.18607293931643168,0.17928898811340332,9474,94.74,21.552394151687622
0.002154434690031884,0,6,,0.1618451498667399,0.1482455280303955,9571,95.71,21.513437271118164
0.002154434690031884,0,7,,0.14260562893549603,0.12900016822814941,9622,96.22,21.830052852630615
0.002154434690031884,0,8,,0.1267831045071284,0.11968896751403808,9640,96.4,21.55976152420044
0.002154434690031884,0,9,,0.11431819477478664,0.10955540466308594,9676,96.76,21.858389139175415
0.002154434690031884,0,10,,0.10328154288033645,0.10142005653381347,9693,96.93,21.560884952545166
0.002154434690031884,1,1,,0.737460583114624,0.32854284210205076,9040,90.4,34.21147155761719
0.002154434690031884,1,2,,0.3040361913760503,0.25677784423828126,9249,92.49,21.5000216960907
0.002154434690031884,1,3,,0.24650634144147238,0.22142090911865234,9356,93.56,21.448107719421387
0.002154434690031884,1,4,,0.20599469714164734,0.17644634933471678,9469,94.69,21.692423343658447
