recon_scaler,epoch,train_class_loss,train_recon_loss,test_loss,test_accuracy
0.001,1,0.18865809457074764,1.6233254423154506,0.053783702087402345,98.23
0.001,2,0.0666129989768572,1.2049811169155624,0.03621739730834961,98.82
0.001,3,0.0490272426859849,1.0542899855037233,0.029577070236206055,98.98
0.001,4,0.03982536568748094,0.988408380162233,0.031133048629760744,99.03
0.001,5,0.033876772118875804,0.9914052123581168,0.033198765754699704,98.95
0.001,6,0.02998369529437242,0.9587532225956541,0.029454248142242432,98.98
0.001,7,0.028028439971520804,0.9791688718902531,0.025525422525405884,99.2
0.001,8,0.02603230467380943,0.996042837593347,0.025401616668701173,99.25
0.001,9,0.024769853461124966,0.9894556944558361,0.025377352142333984,99.23
0.001,10,0.022830887883243813,0.9963428007641326,0.024356182861328124,99.27
0.001,11,0.023570131119425054,0.9680936015618127,0.024907047939300538,99.21
0.001,12,0.022549302110837936,0.9724518344727661,0.024769033432006836,99.23
0.001,13,0.02222268679045833,0.9870759408865402,0.024524699687957764,99.24
0.001,14,0.02253145832416186,0.9786154543921384,0.02475501480102539,99.22
0.0027825594022071257,1,0.21485592708237836,1.6246562816226469,0.0503730770111084,98.34
0.0027825594022071257,2,0.07866678809993334,1.0398230966347366,0.03886106967926026,98.68
0.0027825594022071257,3,0.05670041561192239,0.8389138966353972,0.030321561813354492,98.95
0.0027825594022071257,4,0.046887026820232526,0.7703219793244466,0.026413024044036865,99.13
0.0027825594022071257,5,0.03982121230382075,0.7174854051710954,0.026430964469909668,99.16
0.0027825594022071257,6,0.03729002377424048,0.7192978435742067,0.026760185623168946,99.12
0.0027825594022071257,7,0.03307947527397169,0.7217781216478043,0.026207151222229004,99.08
0.0027825594022071257,8,0.03168223561698551,0.7094341184792996,0.0247771279335022,99.16
0.0027825594022071257,9,0.030263956092060482,0.7103223533137266,0.02636649932861328,99.16
0.0027825594022071257,10,0.029248578427011954,0.7175022889810331,0.02544692668914795,99.14
0.0027825594022071257,11,0.030412937883525462,0.7179714847983582,0.02489303798675537,99.17
0.0027825594022071257,12,0.029053464096271867,0.7138959656773346,0.025891070365905763,99.15
0.0027825594022071257,13,0.02786303512899251,0.7214470450430791,0.024981419372558593,99.16
0.0027825594022071257,14,0.02853860034608468,0.7130642778583681,0.025243943071365356,99.17
0.007742636826811269,1,0.2114332522918929,1.2512584716828266,0.050348473739624026,98.26
0.007742636826811269,2,0.07597686345356383,0.7075191849330341,0.03644112014770508,98.75
0.007742636826811269,3,0.05555573149809121,0.5562727370305356,0.029583242416381834,98.89
0.007742636826811269,4,0.04491746788551566,0.4924793632617637,0.026776882457733155,99.11
0.007742636826811269,5,0.03855722935130345,0.4560082065843062,0.026419951248168944,99.11
0.007742636826811269,6,0.03570454301780337,0.4482548626691802,0.025950541400909424,99.15
0.007742636826811269,7,0.031894027643071525,0.4370960884892356,0.025486206245422364,99.07
0.007742636826811269,8,0.02952222612584437,0.44082992306269053,0.02423755798339844,99.15
0.007742636826811269,9,0.027913502007817177,0.44165813484425737,0.023739662551879884,99.21
0.007742636826811269,10,0.02789710980824141,0.43666822896964513,0.023329946327209472,99.21
0.007742636826811269,11,0.02736302801008363,0.43602498047260335,0.02354103031158447,99.2
