recon_scaler,epoch,train_class_loss,train_recon_loss,test_loss,test_accuracy
0.1668100537200059,2,0.07471448352544514,0.03930564387155367,0.0373867639541626,98.71
0.1668100537200059,3,0.05337134295546297,0.031315359642415413,0.03293588924407959,98.9
0.1668100537200059,4,0.04289568722151768,0.029345279972531647,0.028780681037902833,99.06
0.1668100537200059,5,0.03633371033018325,0.029038000140966636,0.027901604080200194,99.03
0.1668100537200059,6,0.03262781326064288,0.029091034716030938,0.026362901496887206,99.18
0.1668100537200059,7,0.03105016332101087,0.02956354824393225,0.02782836227416992,99.14
0.1668100537200059,8,0.027842106450546925,0.029380257638580383,0.02657076826095581,99.2
0.1668100537200059,9,0.02695877834182006,0.029547037024583136,0.026187574863433837,99.16
0.1668100537200059,10,0.027589576525379345,0.02969874855456576,0.025975211381912233,99.17
0.1668100537200059,11,0.026788552339411655,0.029256005356433804,0.025766648483276366,99.17
0.1668100537200059,12,0.026300699218610193,0.02882604797813557,0.026186377811431884,99.16
0.1668100537200059,13,0.02615092589824236,0.028733227205381337,0.025816491508483887,99.18
0.1668100537200059,14,0.02467158352879848,0.02874347901364951,0.02577583656311035,99.2
0.46415888336127775,1,0.19279667747510806,0.04838079382290146,0.05111481628417969,98.4
0.46415888336127775,2,0.07132049305821216,0.020857359061259895,0.03623172607421875,98.75
0.46415888336127775,3,0.05179608642617101,0.01663749739487987,0.031368810081481936,98.86
0.46415888336127775,4,0.041529632559709394,0.01481895001112684,0.027593164253234864,99.05
0.46415888336127775,5,0.03550200796820648,0.01420407099172727,0.026829536628723144,99.08
0.46415888336127775,6,0.030859063658714374,0.01411890384477021,0.02624757308959961,99.12
0.46415888336127775,7,0.029515622932747353,0.013815898031218727,0.02621775131225586,99.13
0.46415888336127775,8,0.027621108905731467,0.013470283967615572,0.025383585262298582,99.15
0.46415888336127775,9,0.026193908573882128,0.013439236892891655,0.025127509689331053,99.18
0.46415888336127775,10,0.02698546697067639,0.01322860399118142,0.025171502113342285,99.19
0.46415888336127775,11,0.026683974361579828,0.013013243523321108,0.024651837158203124,99.21
0.46415888336127775,12,0.02561539607750538,0.012876640277495707,0.02493170804977417,99.19
0.46415888336127775,13,0.024717782563996562,0.012991624234963074,0.024773466968536377,99.2
0.46415888336127775,14,0.024167919844656542,0.013004267414503577,0.02467353096008301,99.22
1.2915496650148828,1,0.18456182182172753,0.025556322549586927,0.05356146087646484,98.49
1.2915496650148828,2,0.0681690321592336,0.010373468824557022,0.03465208797454834,98.93
1.2915496650148828,3,0.049969816929908956,0.008019807065890701,0.032901624298095705,98.93
1.2915496650148828,4,0.039710005661269136,0.007127718526377543,0.0257530574798584,99.18
1.2915496650148828,5,0.03448636015926275,0.006720637953750837,0.024922614097595216,99.14
1.2915496650148828,6,0.031080155565501696,0.006474883325382082,0.02534416389465332,99.14
1.2915496650148828,7,0.029042836640520132,0.006273809817434946,0.025677377128601075,99.13
1.2915496650148828,8,0.027189833228476346,0.006105416827698125,0.024063503074645998,99.2
1.2915496650148828,9,0.026339347378898367,0.0060953279154927235,0.02374073657989502,99.23
1.2915496650148828,10,0.026236254204278574,0.005936368245945207,0.02380438585281372,99.22
1.2915496650148828,11,0.026067591873359983,0.005877264933700342,0.02361414794921875,99.27
1.2915496650148828,12,0.025893992939983793,0.0058258476335483825,0.0236499719619751,99.25
1.2915496650148828,13,0.024508325498986013,0.005930082682869645,0.023640828609466553,99.26
1.2915496650148828,14,0.024037681259477993,0.005951560226016874,0.023558134365081786,99.27
